"FNet (96)";"FNet (128)";"LSTM (96)";"LSTM (128)";"Tranformer (96)";"Tranformer (128)";"Quixer (5 qubits)";"Quixer (6 qubits)";"Quixer (7 qubits)"
119.040450;117.201617;190.773125;177.101756;99.692397;96.463902;123.128482;118.944444;116.321170
119.463680;117.923038;196.829187;179.615180;99.816340;96.705450;124.594288;119.301432;116.888978
120.067208;118.058831;199.215375;183.398315;99.843753;96.894458;124.867618;119.565327;116.988925
120.277806;118.070069;199.713123;184.415647;99.849993;97.101437;124.892803;119.907262;117.411014
120.333041;118.148427;200.814134;184.638818;99.906330;97.124837;125.456686;120.044609;117.442994
120.347257;118.570448;201.184833;184.960532;99.944959;97.142263;126.847090;120.476381;118.340015
120.487363;118.727866;202.045492;185.276376;100.038089;97.237197;126.871847;120.990931;118.392296
120.548275;119.045301;207.962235;189.240427;100.080863;97.471700;126.937903;123.087526;118.836679
120.673243;119.347742;211.623463;191.183436;100.255840;97.500312;127.780703;123.287070;119.220827
120.878107;119.694254;216.529351;192.434673;100.558841;97.585525;127.969443;124.869230;123.151329